"","interests_correlate","d_interests_correlate"
"2027","0.11","[0-0.33]"
"2028","0.2","[0-0.33]"
"2029","0.46","[0.33-1]"
"2030","0.35","[0.33-1]"
"2031","0.56","[0.33-1]"
"2032","0.1","[0-0.33]"
"2033","0.47","[0.33-1]"
"2034","0.39","[0.33-1]"
"2035","0.4","[0.33-1]"
"2036","0.3","[0-0.33]"
"2037","0.15","[0-0.33]"
"2038","0.46","[0.33-1]"
"2039","0.27","[0-0.33]"
"2040","0.39","[0.33-1]"
"2041","0.24","[0-0.33]"
"2042","0.6","[0.33-1]"
"2043","0.08","[0-0.33]"
"2044","-0.35","[-1-0]"
"2045","0.45","[0.33-1]"
"2046","0.65","[0.33-1]"
"2047","0.54","[0.33-1]"
"2048","0.47","[0.33-1]"
"2049","0.49","[0.33-1]"
"2050","0.19","[0-0.33]"
"2051","0.36","[0.33-1]"
"2052","0.47","[0.33-1]"
"2053","0.67","[0.33-1]"
"2054","0.33","[0-0.33]"
"2055","0","[-1-0]"
"2056","0.09","[0-0.33]"
"2057","0.51","[0.33-1]"
"2058","0.58","[0.33-1]"
"2059","-0.01","[-1-0]"
"2060","-0.32","[-1-0]"
"2061","0.65","[0.33-1]"
"2062","0.62","[0.33-1]"
"2063","0.25","[0-0.33]"
"2064","0.62","[0.33-1]"
"2065","0.28","[0-0.33]"
"2066","-0.17","[-1-0]"
"2067","0.22","[0-0.33]"
"2068","0.07","[0-0.33]"
"2069","0.63","[0.33-1]"
"2070","0.46","[0.33-1]"
"2071","0.02","[0-0.33]"
"2072","-0.15","[-1-0]"
"2073","0.22","[0-0.33]"
"2074","0.44","[0.33-1]"
"2075","0.3","[0-0.33]"
"2076","0.2","[0-0.33]"
"2077","0.3","[0-0.33]"
"2078","0.49","[0.33-1]"
"2079","0.35","[0.33-1]"
"2080","0.51","[0.33-1]"
"2081","0.49","[0.33-1]"
"2082","0.05","[0-0.33]"
"2083","0.2","[0-0.33]"
"2084","0.12","[0-0.33]"
"2085","0.36","[0.33-1]"
"2086","0.78","[0.33-1]"
"2087","0.29","[0-0.33]"
"2088","0.12","[0-0.33]"
"2089","-0.26","[-1-0]"
"2090","0.46","[0.33-1]"
"2091","0.57","[0.33-1]"
"2092","0.51","[0.33-1]"
"2093","-0.01","[-1-0]"
"2094","0.39","[0.33-1]"
"2095","0.66","[0.33-1]"
"2096","0.46","[0.33-1]"
"2097","0.52","[0.33-1]"
"2098","0.71","[0.33-1]"
"2099","0.48","[0.33-1]"
"2100","0.6","[0.33-1]"
"2101","0.25","[0-0.33]"
"2102","0.53","[0.33-1]"
"2103","0.28","[0-0.33]"
"2104","0.54","[0.33-1]"
"2105","0.24","[0-0.33]"
"2106","0.59","[0.33-1]"
"2107","0.1","[0-0.33]"
"2108","-0.18","[-1-0]"
"2109","0.25","[0-0.33]"
"2110","0.54","[0.33-1]"
"2111","0.44","[0.33-1]"
"2112","0.77","[0.33-1]"
"2113","0.44","[0.33-1]"
"2114","0.13","[0-0.33]"
"2115","0.25","[0-0.33]"
"2116","0.23","[0-0.33]"
"2117","0.85","[0.33-1]"
"2118","0.52","[0.33-1]"
"2119","-0.03","[-1-0]"
"2120","-0.13","[-1-0]"
"2121","0.49","[0.33-1]"
"2122","0.4","[0.33-1]"
"2123","-0.03","[-1-0]"
"2124","-0.16","[-1-0]"
"2125","0.45","[0.33-1]"
"2126","0.21","[0-0.33]"
"2127","0.08","[0-0.33]"
"2128","0.65","[0.33-1]"
"2129","0.28","[0-0.33]"
"2130","-0.05","[-1-0]"
"2131","-0.01","[-1-0]"
"2132","-0.05","[-1-0]"
"2133","0.75","[0.33-1]"
"2134","0.19","[0-0.33]"
"2135","-0.08","[-1-0]"
"2136","-0.15","[-1-0]"
"2137","-0.14","[-1-0]"
"2138","0.12","[0-0.33]"
"2139","0.42","[0.33-1]"
"2140","0.42","[0.33-1]"
"2141","0.18","[0-0.33]"
"2142","0.15","[0-0.33]"
"2143","0.57","[0.33-1]"
"2144","-0.09","[-1-0]"
"2145","0.36","[0.33-1]"
"2146","0.6","[0.33-1]"
"2147","0.29","[0-0.33]"
"2148","0.61","[0.33-1]"
"2149","-0.12","[-1-0]"
"2150","0.51","[0.33-1]"
"2151","0.36","[0.33-1]"
"2152","0.49","[0.33-1]"
"2153","0.35","[0.33-1]"
"2154","0.34","[0.33-1]"
"2155","-0.4","[-1-0]"
"2156","0.42","[0.33-1]"
"2157","0.26","[0-0.33]"
"2158","-0.15","[-1-0]"
"2159","0.11","[0-0.33]"
"2160","0.19","[0-0.33]"
"2161","0.31","[0-0.33]"
"2162","0.24","[0-0.33]"
"2163","0.51","[0.33-1]"
"2164","0.22","[0-0.33]"
"2165","-0.26","[-1-0]"
"2166","0.24","[0-0.33]"
"2167","0.49","[0.33-1]"
"2168","-0.14","[-1-0]"
"2169","-0.57","[-1-0]"
"2170","0.55","[0.33-1]"
"2171","0.32","[0-0.33]"
"2172","0.68","[0.33-1]"
"2173","0.68","[0.33-1]"
"2174","0.55","[0.33-1]"
"2175","0.72","[0.33-1]"
"2176","0.65","[0.33-1]"
"2177","0.23","[0-0.33]"
"2178","0.6","[0.33-1]"
"2179","0.58","[0.33-1]"
"2180","0.44","[0.33-1]"
"2181","0.46","[0.33-1]"
"2182","0.59","[0.33-1]"
"2183","0.4","[0.33-1]"
"2184","0.12","[0-0.33]"
"2185","-0.15","[-1-0]"
"2186","0.01","[0-0.33]"
"2187","0.64","[0.33-1]"
"2188","-0.18","[-1-0]"
"2189","-0.04","[-1-0]"
"2190","0.25","[0-0.33]"
"2191","-0.16","[-1-0]"
"2192","-0.03","[-1-0]"
"2193","0.11","[0-0.33]"
"2194","0.08","[0-0.33]"
"2195","-0.01","[-1-0]"
"2196","0.3","[0-0.33]"
"2197","0.57","[0.33-1]"
"2198","0.1","[0-0.33]"
"2199","-0.03","[-1-0]"
"2200","0.42","[0.33-1]"
"2201","-0.01","[-1-0]"
"2202","-0.15","[-1-0]"
"2203","0.44","[0.33-1]"
"2204","-0.29","[-1-0]"
"2205","-0.15","[-1-0]"
"2206","0.17","[0-0.33]"
"2207","-0.19","[-1-0]"
"2208","-0.11","[-1-0]"
"2209","0.2","[0-0.33]"
"2210","-0.35","[-1-0]"
"2211","-0.32","[-1-0]"
"2212","0.2","[0-0.33]"
"2213","0.51","[0.33-1]"
"2214","-0.18","[-1-0]"
"2215","-0.16","[-1-0]"
"2216","0.42","[0.33-1]"
"2217","-0.24","[-1-0]"
"2218","0.58","[0.33-1]"
"2219","0.28","[0-0.33]"
"2220","0.34","[0.33-1]"
"2221","0.3","[0-0.33]"
"2222","0.11","[0-0.33]"
"2223","0.11","[0-0.33]"
"2224","0.72","[0.33-1]"
"2225","0.46","[0.33-1]"
"2226","0.45","[0.33-1]"
"2227","0.65","[0.33-1]"
"2228","0.3","[0-0.33]"
"2229","-0.01","[-1-0]"
"2230","0.25","[0-0.33]"
"2231","0.45","[0.33-1]"
"2232","0.18","[0-0.33]"
"2233","-0.43","[-1-0]"
"2234","0.61","[0.33-1]"
"2235","0.14","[0-0.33]"
"2236","0.39","[0.33-1]"
"2237","0.64","[0.33-1]"
"2238","0.51","[0.33-1]"
"2239","0.58","[0.33-1]"
"2240","0.47","[0.33-1]"
"2241","0.35","[0.33-1]"
"2242","0.65","[0.33-1]"
"2243","0.62","[0.33-1]"
"2244","0.49","[0.33-1]"
"2245","0.39","[0.33-1]"
"2246","0.54","[0.33-1]"
"2247","0.21","[0-0.33]"
"2248","0.15","[0-0.33]"
"2249","-0.59","[-1-0]"
"2250","0.47","[0.33-1]"
"2251","0.27","[0-0.33]"
"2252","0.06","[0-0.33]"
"2253","0.32","[0-0.33]"
"2254","0.5","[0.33-1]"
"2255","0.38","[0.33-1]"
"2256","0.45","[0.33-1]"
"2257","0.56","[0.33-1]"
"2258","0.54","[0.33-1]"
"2259","0.25","[0-0.33]"
"2260","0.35","[0.33-1]"
"2261","0.66","[0.33-1]"
"2262","0.44","[0.33-1]"
"2263","0.08","[0-0.33]"
"2264","0.57","[0.33-1]"
"2265","-0.4","[-1-0]"
"2266","0.54","[0.33-1]"
"2267","0.01","[0-0.33]"
"2268","0.72","[0.33-1]"
"2269","0.82","[0.33-1]"
"2270","0.66","[0.33-1]"
"2271","0.8","[0.33-1]"
"2272","0.15","[0-0.33]"
"2273","0.1","[0-0.33]"
"2274","0.47","[0.33-1]"
"2275","0.62","[0.33-1]"
"2276","0.51","[0.33-1]"
"2277","0.46","[0.33-1]"
"2278","0.77","[0.33-1]"
"2279","0.65","[0.33-1]"
"2280","-0.09","[-1-0]"
"2281","-0.21","[-1-0]"
"2282","0.22","[0-0.33]"
"2283","0.53","[0.33-1]"
"2284","0.04","[0-0.33]"
"2285","0.24","[0-0.33]"
"2286","0.19","[0-0.33]"
"2287","0.09","[0-0.33]"
"2288","0.17","[0-0.33]"
"2289","0.47","[0.33-1]"
"2290","0.49","[0.33-1]"
"2291","0.28","[0-0.33]"
"2292","0.49","[0.33-1]"
"2293","0.52","[0.33-1]"
"2294","0.44","[0.33-1]"
"2295","0.28","[0-0.33]"
"2296","0.36","[0.33-1]"
"2297","-0.63","[-1-0]"
"2298","0.13","[0-0.33]"
"2299","0.38","[0.33-1]"
"2300","-0.2","[-1-0]"
"2301","0.04","[0-0.33]"
"2302","0.36","[0.33-1]"
"2303","0.14","[0-0.33]"
"2304","0.26","[0-0.33]"
"2305","0.39","[0.33-1]"
"2306","0.19","[0-0.33]"
"2307","-0.17","[-1-0]"
"2308","0.05","[0-0.33]"
"2309","0.71","[0.33-1]"
"2310","0.13","[0-0.33]"
"2311","-0.05","[-1-0]"
"2312","0.6","[0.33-1]"
"2313","-0.5","[-1-0]"
"2314","0.33","[0-0.33]"
"2315","0.03","[0-0.33]"
"2316","0.11","[0-0.33]"
"2317","0.13","[0-0.33]"
"2318","0.38","[0.33-1]"
"2319","0.31","[0-0.33]"
"2320","0.13","[0-0.33]"
"2321","0.4","[0.33-1]"
"2322","0.36","[0.33-1]"
"2323","0.22","[0-0.33]"
"2324","0.2","[0-0.33]"
"2325","0.48","[0.33-1]"
"2326","0.25","[0-0.33]"
"2327","-0.01","[-1-0]"
"2328","0.29","[0-0.33]"
"2329","-0.59","[-1-0]"
"2330","0.27","[0-0.33]"
"2331","0.55","[0.33-1]"
"2332","-0.11","[-1-0]"
"2333","0.01","[0-0.33]"
"2334","0.37","[0.33-1]"
"2335","0.08","[0-0.33]"
"2336","0.45","[0.33-1]"
"2337","0.3","[0-0.33]"
"2338","0.47","[0.33-1]"
"2339","0.07","[0-0.33]"
"2340","0.12","[0-0.33]"
"2341","0.6","[0.33-1]"
"2342","0.23","[0-0.33]"
"2343","-0.05","[-1-0]"
"2344","0.61","[0.33-1]"
"2345","-0.27","[-1-0]"
"2346","0.55","[0.33-1]"
"2347","-0.06","[-1-0]"
"2348","0.7","[0.33-1]"
"2349","0.74","[0.33-1]"
"2350","0.43","[0.33-1]"
"2351","0.74","[0.33-1]"
"2352","0.32","[0-0.33]"
"2353","0.15","[0-0.33]"
"2354","0.67","[0.33-1]"
"2355","0.63","[0.33-1]"
"2356","0.36","[0.33-1]"
"2357","0.25","[0-0.33]"
"2358","0.85","[0.33-1]"
"2359","0.75","[0.33-1]"
"2360","-0.12","[-1-0]"
"2361","-0.36","[-1-0]"
"2362","0.34","[0.33-1]"
"2363","0.45","[0.33-1]"
"2364","0.38","[0.33-1]"
"2365","0.55","[0.33-1]"
"2366","0.54","[0.33-1]"
"2367","0.42","[0.33-1]"
"2368","0.52","[0.33-1]"
"2369","0.46","[0.33-1]"
"2370","0.33","[0-0.33]"
"2371","0.46","[0.33-1]"
"2372","0.78","[0.33-1]"
"2373","0.53","[0.33-1]"
"2374","0.52","[0.33-1]"
"2375","0.19","[0-0.33]"
"2376","0.51","[0.33-1]"
"2377","0.04","[0-0.33]"
"2378","-0.01","[-1-0]"
"2379","0.52","[0.33-1]"
"2380","-0.25","[-1-0]"
"2381","-0.29","[-1-0]"
"2382","0.01","[0-0.33]"
"2383","-0.36","[-1-0]"
"2384","-0.09","[-1-0]"
"2385","0.27","[0-0.33]"
"2386","0","[-1-0]"
"2387","0.02","[0-0.33]"
"2388","0.29","[0-0.33]"
"2389","0.28","[0-0.33]"
"2390","-0.03","[-1-0]"
"2391","-0.08","[-1-0]"
"2392","0.36","[0.33-1]"
"2393","-0.21","[-1-0]"
"2394","-0.03","[-1-0]"
"2395","0.72","[0.33-1]"
"2396","-0.5","[-1-0]"
"2397","-0.21","[-1-0]"
"2398","0.03","[0-0.33]"
"2399","-0.34","[-1-0]"
"2400","0.15","[0-0.33]"
"2401","0.39","[0.33-1]"
"2402","0.09","[0-0.33]"
"2403","-0.15","[-1-0]"
"2404","0.12","[0-0.33]"
"2405","0.54","[0.33-1]"
"2406","-0.13","[-1-0]"
"2407","-0.15","[-1-0]"
"2408","0.49","[0.33-1]"
"2409","0.34","[0.33-1]"
"2410","0.48","[0.33-1]"
"2411","0.35","[0.33-1]"
"2412","0.71","[0.33-1]"
"2413","0.51","[0.33-1]"
"2414","0.22","[0-0.33]"
"2415","0.21","[0-0.33]"
"2416","0.32","[0-0.33]"
"2417","-0.03","[-1-0]"
"2418","0.37","[0.33-1]"
"2419","0.41","[0.33-1]"
"2420","0.56","[0.33-1]"
"2421","0.48","[0.33-1]"
"2422","0.45","[0.33-1]"
"2423","0.43","[0.33-1]"
"2424","0.1","[0-0.33]"
"2425","0.05","[0-0.33]"
"2426","0.65","[0.33-1]"
"2427","0.05","[0-0.33]"
"2428","0.39","[0.33-1]"
"2429","0.48","[0.33-1]"
"2430","0.16","[0-0.33]"
"2431","0.5","[0.33-1]"
"2432","0.44","[0.33-1]"
"2433","0.43","[0.33-1]"
"2434","-0.05","[-1-0]"
"2435","-0.34","[-1-0]"
"2436","0.32","[0-0.33]"
"2437","-0.47","[-1-0]"
"2438","0.4","[0.33-1]"
"2439","0.07","[0-0.33]"
"2440","0.31","[0-0.33]"
"2441","-0.06","[-1-0]"
"2442","0.14","[0-0.33]"
"2443","-0.13","[-1-0]"
"2444","0.05","[0-0.33]"
"2445","-0.03","[-1-0]"
"2446","0.14","[0-0.33]"
"2447","0.07","[0-0.33]"
"2448","0.58","[0.33-1]"
"2449","0.64","[0.33-1]"
"2450","0.4","[0.33-1]"
"2451","0.51","[0.33-1]"
"2452","0.41","[0.33-1]"
"2453","0.41","[0.33-1]"
"2454","-0.02","[-1-0]"
"2455","0.01","[0-0.33]"
"2456","0.51","[0.33-1]"
"2457","-0.11","[-1-0]"
"2458","0.27","[0-0.33]"
"2459","0.38","[0.33-1]"
"2460","0.41","[0.33-1]"
"2461","0.36","[0.33-1]"
"2462","0.41","[0.33-1]"
"2463","0.46","[0.33-1]"
"2464","0.13","[0-0.33]"
"2465","0.22","[0-0.33]"
"2466","0.45","[0.33-1]"
"2467","-0.02","[-1-0]"
"2468","0.41","[0.33-1]"
"2469","0.24","[0-0.33]"
"2470","0.16","[0-0.33]"
"2471","0.34","[0.33-1]"
"2472","-0.4","[-1-0]"
"2473","-0.07","[-1-0]"
"2474","-0.27","[-1-0]"
"2475","0.13","[0-0.33]"
"2476","0.13","[0-0.33]"
"2477","0.02","[0-0.33]"
"2478","0.15","[0-0.33]"
"2479","0.43","[0.33-1]"
"2480","0.62","[0.33-1]"
"2481","0.44","[0.33-1]"
"2482","0.38","[0.33-1]"
"2483","0.4","[0.33-1]"
"2484","-0.22","[-1-0]"
"2485","-0.18","[-1-0]"
"2486","0.16","[0-0.33]"
"2487","-0.3","[-1-0]"
"2488","0.54","[0.33-1]"
"2489","-0.34","[-1-0]"
"2490","0.42","[0.33-1]"
"2491","0.56","[0.33-1]"
"2492","0.07","[0-0.33]"
"2493","0.1","[0-0.33]"
"2494","-0.22","[-1-0]"
"2495","0.01","[0-0.33]"
"2496","-0.12","[-1-0]"
"2497","0.33","[0-0.33]"
"2498","0.53","[0.33-1]"
"2499","0.28","[0-0.33]"
"2500","-0.01","[-1-0]"
"2501","0.4","[0.33-1]"
"2502","-0.13","[-1-0]"
"2503","0.31","[0-0.33]"
"2504","0.05","[0-0.33]"
"2505","0.24","[0-0.33]"
"2506","0.43","[0.33-1]"
"2507","0.32","[0-0.33]"
"2508","-0.38","[-1-0]"
"2509","0.34","[0.33-1]"
"2510","0.41","[0.33-1]"
"2511","0.48","[0.33-1]"
"2512","0.07","[0-0.33]"
"2513","0.64","[0.33-1]"
"2514","0.38","[0.33-1]"
"2515","0.24","[0-0.33]"
"2516","0.43","[0.33-1]"
"2517","-0.34","[-1-0]"
"2518","0.28","[0-0.33]"
"2519","0.48","[0.33-1]"
"2520","0.56","[0.33-1]"
"2521","0.16","[0-0.33]"
"2522","0.31","[0-0.33]"
"2523","0.4","[0.33-1]"
"2524","0.41","[0.33-1]"
"2525","0.16","[0-0.33]"
"2526","0.62","[0.33-1]"
"2527","0.42","[0.33-1]"
"2528","-0.01","[-1-0]"
"2529","0.35","[0.33-1]"
"2530","0.48","[0.33-1]"
"2531","0.5","[0.33-1]"
"2532","-0.06","[-1-0]"
"2533","0.51","[0.33-1]"
"2534","0.36","[0.33-1]"
"2535","0.34","[0.33-1]"
"2536","0.44","[0.33-1]"
"2537","0.56","[0.33-1]"
"2538","0.4","[0.33-1]"
"2539","0.71","[0.33-1]"
"2540","0.45","[0.33-1]"
"2541","0.44","[0.33-1]"
"2542","0.14","[0-0.33]"
"2543","0.41","[0.33-1]"
"2544","0.41","[0.33-1]"
"2545","-0.4","[-1-0]"
"2546","0.38","[0.33-1]"
"2547","0.07","[0-0.33]"
"2548","-0.13","[-1-0]"
"2549","0.51","[0.33-1]"
"2550","0.43","[0.33-1]"
"2551","0.43","[0.33-1]"
"2552","-0.13","[-1-0]"
"2553","0.41","[0.33-1]"
"2554","0.46","[0.33-1]"
"2555","-0.07","[-1-0]"
"2556","0.4","[0.33-1]"
"2557","0.1","[0-0.33]"
"2558","0.31","[0-0.33]"
"2559","0.22","[0-0.33]"
"2560","0.1","[0-0.33]"
"2561","-0.05","[-1-0]"
"2562","0.05","[0-0.33]"
"2563","-0.02","[-1-0]"
"2564","0.13","[0-0.33]"
"2565","-0.27","[-1-0]"
"2566","-0.22","[-1-0]"
"2567","-0.22","[-1-0]"
"2568","0.05","[0-0.33]"
"2569","0.21","[0-0.33]"
"2570","0.05","[0-0.33]"
"2571","-0.34","[-1-0]"
"2572","-0.03","[-1-0]"
"2573","0.01","[0-0.33]"
"2574","0.22","[0-0.33]"
"2575","0.13","[0-0.33]"
"2576","-0.18","[-1-0]"
"2577","0.01","[0-0.33]"
"2578","0.24","[0-0.33]"
"2579","0.32","[0-0.33]"
"2580","0.65","[0.33-1]"
"2581","0.32","[0-0.33]"
"2582","0.14","[0-0.33]"
"2583","0.51","[0.33-1]"
"2584","0.45","[0.33-1]"
"2585","0.13","[0-0.33]"
"2586","0.16","[0-0.33]"
"2587","-0.12","[-1-0]"
"2588","0.43","[0.33-1]"
"2589","-0.03","[-1-0]"
"2590","0.05","[0-0.33]"
"2591","-0.47","[-1-0]"
"2592","0.07","[0-0.33]"
"2593","-0.11","[-1-0]"
"2594","-0.02","[-1-0]"
"2595","0.02","[0-0.33]"
"2596","-0.3","[-1-0]"
"2597","0.33","[0-0.33]"
"2598","0.32","[0-0.33]"
"2599","0.37","[0.33-1]"
"2600","0.39","[0.33-1]"
"2601","0.4","[0.33-1]"
"2602","0.58","[0.33-1]"
"2603","0.27","[0-0.33]"
"2604","0.41","[0.33-1]"
"2605","0.15","[0-0.33]"
"2606","0.54","[0.33-1]"
"2607","0.53","[0.33-1]"
"2608","-0.38","[-1-0]"
"2609","-0.22","[-1-0]"
"2610","0.74","[0.33-1]"
"2611","0.34","[0.33-1]"
"2612","-0.43","[-1-0]"
"2613","-0.29","[-1-0]"
"2614","-0.03","[-1-0]"
"2615","-0.22","[-1-0]"
"2616","0.41","[0.33-1]"
"2617","-0.23","[-1-0]"
"2618","0.3","[0-0.33]"
"2619","0.19","[0-0.33]"
"2620","-0.18","[-1-0]"
"2621","-0.07","[-1-0]"
"2622","0.57","[0.33-1]"
"2623","-0.05","[-1-0]"
"2624","0.33","[0-0.33]"
"2625","-0.02","[-1-0]"
"2626","-0.28","[-1-0]"
"2627","-0.44","[-1-0]"
"2628","0.17","[0-0.33]"
"2629","0.27","[0-0.33]"
"2630","0.41","[0.33-1]"
"2631","-0.03","[-1-0]"
"2632","0.01","[0-0.33]"
"2633","0.07","[0-0.33]"
"2634","0.09","[0-0.33]"
"2635","0.6","[0.33-1]"
"2636","-0.21","[-1-0]"
"2637","0.03","[0-0.33]"
"2638","0.22","[0-0.33]"
"2639","0.44","[0.33-1]"
"2640","-0.27","[-1-0]"
"2641","-0.04","[-1-0]"
"2642","-0.12","[-1-0]"
"2643","0.26","[0-0.33]"
"2644","0.49","[0.33-1]"
"2645","-0.43","[-1-0]"
"2646","0.17","[0-0.33]"
"2647","0.29","[0-0.33]"
"2648","-0.5","[-1-0]"
"2649","0","[-1-0]"
"2650","-0.38","[-1-0]"
"2651","0.3","[0-0.33]"
"2652","0.52","[0.33-1]"
"2653","0.14","[0-0.33]"
"2654","0.2","[0-0.33]"
"2655","-0.34","[-1-0]"
"2656","0.15","[0-0.33]"
"2657","0.5","[0.33-1]"
"2658","-0.15","[-1-0]"
"2659","0","[-1-0]"
"2660","0.09","[0-0.33]"
"2661","-0.2","[-1-0]"
"2662","-0.1","[-1-0]"
"2663","0.52","[0.33-1]"
"2664","-0.4","[-1-0]"
"2665","0.57","[0.33-1]"
"2666","0.47","[0.33-1]"
"2667","0.32","[0-0.33]"
"2668","0.07","[0-0.33]"
"2669","-0.04","[-1-0]"
"2670","0.32","[0-0.33]"
"2671","0.66","[0.33-1]"
"2672","0.35","[0.33-1]"
"2673","0.43","[0.33-1]"
"2674","0.6","[0.33-1]"
"2675","0.1","[0-0.33]"
"2676","0.12","[0-0.33]"
"2677","0.59","[0.33-1]"
"2678","0.34","[0.33-1]"
"2679","0.23","[0-0.33]"
"2680","0.11","[0-0.33]"
"2681","-0.02","[-1-0]"
"2682","0.46","[0.33-1]"
"2683","0.63","[0.33-1]"
"2684","0.04","[0-0.33]"
"2685","0.35","[0.33-1]"
"2686","0.43","[0.33-1]"
"2687","0.13","[0-0.33]"
"2688","0.18","[0-0.33]"
"2689","0.07","[0-0.33]"
"2690","-0.36","[-1-0]"
"2691","-0.22","[-1-0]"
"2692","0.13","[0-0.33]"
"2693","0.15","[0-0.33]"
"2694","-0.12","[-1-0]"
"2695","-0.24","[-1-0]"
"2696","0.05","[0-0.33]"
"2697","0","[-1-0]"
"2698","-0.45","[-1-0]"
"2699","-0.46","[-1-0]"
"2700","0.11","[0-0.33]"
"2701","-0.07","[-1-0]"
"2702","-0.2","[-1-0]"
"2703","0.02","[0-0.33]"
"2704","-0.43","[-1-0]"
"2705","0.4","[0.33-1]"
"2706","0.04","[0-0.33]"
"2707","0.03","[0-0.33]"
"2708","0.44","[0.33-1]"
"2709","0.46","[0.33-1]"
"2710","0.49","[0.33-1]"
"2711","0.31","[0-0.33]"
"2712","0.18","[0-0.33]"
"2713","0.42","[0.33-1]"
"2714","0.6","[0.33-1]"
"2715","0.23","[0-0.33]"
"2716","0.29","[0-0.33]"
"2717","0.47","[0.33-1]"
"2718","0.29","[0-0.33]"
"2719","0.38","[0.33-1]"
"2720","0.08","[0-0.33]"
"2721","0.45","[0.33-1]"
"2722","0.65","[0.33-1]"
"2723","0.02","[0-0.33]"
"2724","0.13","[0-0.33]"
"2725","0.1","[0-0.33]"
"2726","0.39","[0.33-1]"
"2727","0.37","[0.33-1]"
"2728","-0.23","[-1-0]"
"2729","0.59","[0.33-1]"
"2730","-0.08","[-1-0]"
"2731","0.15","[0-0.33]"
"2732","0.65","[0.33-1]"
"2733","0.69","[0.33-1]"
"2734","0.76","[0.33-1]"
"2735","0.44","[0.33-1]"
"2736","-0.07","[-1-0]"
"2737","0.71","[0.33-1]"
"2738","0.18","[0-0.33]"
"2739","0.38","[0.33-1]"
"2740","0.38","[0.33-1]"
"2741","0.41","[0.33-1]"
"2742","-0.02","[-1-0]"
"2743","0.61","[0.33-1]"
"2744","0.32","[0-0.33]"
"2745","0.06","[0-0.33]"
"2746","0.82","[0.33-1]"
"2747","0.72","[0.33-1]"
"2748","-0.08","[-1-0]"
"2749","0.21","[0-0.33]"
"2750","0.41","[0.33-1]"
"2751","-0.33","[-1-0]"
"2752","-0.43","[-1-0]"
"2753","-0.24","[-1-0]"
"2754","-0.12","[-1-0]"
"2755","0.13","[0-0.33]"
"2756","-0.23","[-1-0]"
"2757","-0.41","[-1-0]"
"2758","-0.07","[-1-0]"
"2759","0.02","[0-0.33]"
"2760","-0.25","[-1-0]"
"2761","0.19","[0-0.33]"
"2762","0.13","[0-0.33]"
"2763","-0.39","[-1-0]"
"2764","0.47","[0.33-1]"
"2765","-0.83","[-1-0]"
"2766","-0.34","[-1-0]"
"2767","-0.18","[-1-0]"
"2768","0.28","[0-0.33]"
"2769","0.16","[0-0.33]"
"2770","0.43","[0.33-1]"
"2771","0.05","[0-0.33]"
"2772","0.08","[0-0.33]"
"2773","-0.03","[-1-0]"
"2774","0.27","[0-0.33]"
"2775","-0.15","[-1-0]"
"2776","0.49","[0.33-1]"
"2777","0.02","[0-0.33]"
"2778","0.2","[0-0.33]"
"2779","0.09","[0-0.33]"
"2780","0.2","[0-0.33]"
"2781","0.5","[0.33-1]"
"2782","0.46","[0.33-1]"
"2783","-0.11","[-1-0]"
"2784","0.46","[0.33-1]"
"2785","0.04","[0-0.33]"
"2786","0.24","[0-0.33]"
"2787","0.2","[0-0.33]"
"2788","0.09","[0-0.33]"
"2789","0.03","[0-0.33]"
"2790","0.43","[0.33-1]"
"2791","0.22","[0-0.33]"
"2792","0.06","[0-0.33]"
"2793","-0.25","[-1-0]"
"2794","0.09","[0-0.33]"
"2795","-0.52","[-1-0]"
"2796","0.39","[0.33-1]"
"2797","-0.04","[-1-0]"
"2798","-0.05","[-1-0]"
"2799","-0.07","[-1-0]"
"2800","-0.18","[-1-0]"
"2801","0.05","[0-0.33]"
"2802","0.35","[0.33-1]"
"2803","-0.01","[-1-0]"
"2804","0.18","[0-0.33]"
"2805","0.36","[0.33-1]"
"2806","0.07","[0-0.33]"
"2807","-0.01","[-1-0]"
"2808","0.02","[0-0.33]"
"2809","0.5","[0.33-1]"
"2810","0.48","[0.33-1]"
"2811","-0.08","[-1-0]"
"2812","-0.02","[-1-0]"
"2813","0.54","[0.33-1]"
"2814","0.53","[0.33-1]"
"2815","0.4","[0.33-1]"
"2816","0.02","[0-0.33]"
"2817","0.22","[0-0.33]"
"2818","0.14","[0-0.33]"
"2819","0.08","[0-0.33]"
"2820","0.08","[0-0.33]"
"2821","0.53","[0.33-1]"
"2822","0.31","[0-0.33]"
"2823","-0.08","[-1-0]"
"2824","0.09","[0-0.33]"
"2825","0.01","[0-0.33]"
"2826","0.24","[0-0.33]"
"2827","0.23","[0-0.33]"
"2828","-0.17","[-1-0]"
"2829","0.32","[0-0.33]"
"2830","0.32","[0-0.33]"
"2831","0.39","[0.33-1]"
"2832","0.45","[0.33-1]"
"2833","0.59","[0.33-1]"
"2834","0.66","[0.33-1]"
"2835","0.52","[0.33-1]"
"2836","0.22","[0-0.33]"
"2837","0.59","[0.33-1]"
"2838","0.56","[0.33-1]"
"2839","0.54","[0.33-1]"
"2840","0.35","[0.33-1]"
"2841","0.36","[0.33-1]"
"2842","0.28","[0-0.33]"
"2843","0.64","[0.33-1]"
"2844","0.55","[0.33-1]"
"2845","0.08","[0-0.33]"
"2846","0.71","[0.33-1]"
"2847","0.68","[0.33-1]"
"2848","-0.19","[-1-0]"
"2849","0","[-1-0]"
